Time(seconds);Cost(€/jule)
0;3.50028E-08
3600;3.39917E-08
7200;3.06639E-08
10800;3.07778E-08
14400;3.01306E-08
18000;3.08111E-08
21600;3.02139E-08
25200;3.39445E-08
28800;3.40056E-08
32400;2.71389E-08
36000;2.07695E-08
39600;1.95583E-08
43200;1.89972E-08
46800;1.66889E-08
50400;1.70806E-08
54000;2.04139E-08
57600;2.47778E-08
61200;3.58889E-08
64800;3.61861E-08
68400;3.94861E-08
72000;4.09111E-08
75600;4.02417E-08
79200;3.59695E-08
82800;3.38695E-08
86400;2.99584E-08
90000;2.81195E-08
93600;2.77472E-08
97200;2.70334E-08
100800;2.60917E-08
104400;2.71361E-08
108000;3.08222E-08
111600;3.46167E-08
115200;4.39056E-08
118800;3.62611E-08
122400;4.66667E-08
126000;3.91195E-08
129600;3.89889E-08
133200;3.85334E-08
136800;2.20889E-08
140400;2.9075E-08
144000;3.87111E-08
147600;4.63556E-08
151200;6.97862E-08
154800;7.39695E-08
158400;7.67334E-08
162000;7.8014E-08
165600;5.05084E-08
169200;4.68417E-08
172800;3.58223E-08
176400;3.31445E-08
180000;3.2875E-08
183600;3.0925E-08
187200;3.16139E-08
190800;3.1975E-08
194400;3.49417E-08
198000;3.84278E-08
201600;4.78028E-08
205200;4.57361E-08
208800;6.20695E-08
212400;6.10778E-08
216000;6.04112E-08
219600;5.94417E-08
223200;4.16778E-08
226800;4.32111E-08
230400;4.60556E-08
234000;4.87445E-08
237600;6.84334E-08
241200;6.92667E-08
244800;7.09501E-08
248400;6.93223E-08
252000;4.78473E-08
255600;4.41639E-08
259200;3.88306E-08
262800;3.61334E-08
266400;3.6075E-08
270000;3.23528E-08
273600;3.15334E-08
277200;3.18472E-08
280800;3.59306E-08
284400;4.30195E-08
288000;5.23917E-08
291600;4.82584E-08
295200;5.79917E-08
298800;5.55556E-08
302400;5.48612E-08
306000;5.36667E-08
309600;3.56528E-08
313200;3.67889E-08
316800;4.21389E-08
320400;4.9775E-08
324000;6.73334E-08
327600;6.89556E-08
331200;7.17084E-08
334800;6.98778E-08
338400;4.65473E-08
342000;4.36667E-08
345600;3.57167E-08
349200;3.17556E-08
352800;3.15889E-08
356400;3.04084E-08
360000;3.05667E-08
363600;3.225E-08
367200;3.60417E-08
370800;4.02584E-08
374400;5.21778E-08
378000;4.92028E-08
381600;6.50028E-08
385200;6.37445E-08
388800;6.18028E-08
392400;6.05473E-08
396000;4.27223E-08
399600;4.16695E-08
403200;4.31556E-08
406800;4.65361E-08
410400;6.73278E-08
414000;6.67056E-08
417600;6.66278E-08
421200;6.52667E-08
424800;4.31639E-08
428400;4.05556E-08
432000;3.65639E-08
435600;3.42528E-08
439200;3.28556E-08
442800;3.06222E-08
446400;2.97361E-08
450000;3.08111E-08
453600;3.12528E-08
457200;3.30806E-08
460800;3.55445E-08
464400;3.43084E-08
468000;3.1125E-08
471600;2.92278E-08
475200;2.85972E-08
478800;2.68778E-08
482400;2.71972E-08
486000;2.96584E-08
489600;3.32334E-08
493200;3.76139E-08
496800;4.08973E-08
500400;4.03806E-08
504000;4.09334E-08
507600;3.94E-08
511200;3.87861E-08
514800;3.54139E-08
518400;3.56556E-08
522000;3.28084E-08
525600;3.21695E-08
529200;3.20306E-08
532800;3.12556E-08
536400;3.0925E-08
540000;3.17917E-08
543600;3.29417E-08
547200;3.5625E-08
550800;3.4325E-08
554400;3.05972E-08
558000;2.80611E-08
561600;2.82861E-08
565200;2.72389E-08
568800;2.72195E-08
572400;2.92778E-08
576000;3.25667E-08
579600;3.81945E-08
583200;4.14556E-08
586800;4.19278E-08
590400;4.19584E-08
594000;4.18223E-08
597600;3.9425E-08
601200;3.73834E-08
